Cde;Dt;Livraison;Client ID;Produit ID;Qty;Rabais;Mode Livraison
CA-2022-102729;26/10/2022;30/10/2022;BF-11215;OFF-ST-10000464;2;20 %;Standard Class
CA-2022-117422;21/10/2022;26/10/2022;FC-14245;OFF-AP-10000938;2;20 %;Standard Class
US-2022-115252;20/10/2022;25/10/2022;MY-18295;TEC-PH-10004071;2;20 %;Standard Class
CA-2022-159100;16/10/2022;21/10/2022;VP-21760;TEC-AC-10003499;2;20 %;Standard Class
CA-2022-132976;13/10/2022;19/10/2022;AG-10495;OFF-PA-10000673;2;20 %;Standard Class
CA-2022-137421;06/10/2022;10/10/2022;AJ-10945;OFF-AR-10001761;2;20 %;Standard Class
CA-2022-148138;29/09/2022;03/10/2022;ME-18010;OFF-ST-10000563;2;20 %;Standard Class
CA-2022-100314;29/09/2022;04/10/2022;AS-10630;OFF-LA-10001569;2;20 %;Standard Class
CA-2022-160017;28/09/2022;02/10/2022;SP-20860;OFF-PA-10001800;2;20 %;Standard Class
CA-2022-139619;19/09/2022;24/09/2022;ES-14080;OFF-ST-10003282;2;20 %;Standard Class
CA-2022-153822;19/09/2022;23/09/2022;AB-10105;OFF-ST-10000321;2;20 %;Standard Class
CA-2022-144113;16/09/2022;20/09/2022;JF-15355;OFF-EN-10001141;2;20 %;Standard Class
CA-2022-146185;15/09/2022;19/09/2022;CC-12145;OFF-AR-10002987;2;20 %;Standard Class
CA-2022-155929;09/09/2022;13/09/2022;AI-10855;OFF-PA-10000859;2;20 %;Standard Class
US-2022-150070;07/09/2022;12/09/2022;JA-15970;FUR-CH-10004860;2;20 %;Standard Class
CA-2022-128769;07/09/2022;12/09/2022;DM-12955;OFF-AP-10001271;2;20 %;Standard Class
CA-2022-120705;05/09/2022;09/09/2022;MG-17875;OFF-ST-10001522;2;20 %;Standard Class
US-2022-117450;04/09/2022;10/09/2022;DO-13645;FUR-CH-10003817;2;20 %;Standard Class
CA-2022-141929;04/09/2022;11/09/2022;RA-19285;OFF-BI-10004632;2;20 %;Standard Class
CA-2022-127712;31/08/2022;06/09/2022;MG-17890;OFF-SU-10002522;2;20 %;Standard Class
CA-2022-133102;17/08/2022;24/08/2022;ED-13885;OFF-SU-10000432;2;20 %;Standard Class
CA-2022-125752;31/07/2022;07/08/2022;EH-14125;TEC-AC-10003590;2;20 %;Standard Class
CA-2022-130771;29/07/2022;05/08/2022;LA-16780;OFF-FA-10003059;2;20 %;Standard Class
CA-2022-118640;20/07/2022;25/07/2022;CS-11950;OFF-ST-10002974;2;20 %;Standard Class
CA-2022-126662;17/07/2022;25/07/2022;AB-10255;TEC-CO-10004202;2;20 %;Standard Class
CA-2022-139948;17/07/2022;25/07/2022;SW-20455;FUR-FU-10002597;2;20 %;Standard Class
CA-2022-109778;16/07/2022;25/07/2022;VM-21685;OFF-AR-10003759;2;20 %;Standard Class
CA-2022-121048;14/07/2022;19/07/2022;TC-21295;OFF-BI-10004022;2;20 %;Standard Class
US-2022-161935;14/07/2022;21/07/2022;JL-15835;OFF-PA-10000605;2;20 %;Standard Class
US-2022-166233;03/07/2022;11/07/2022;MO-17950;TEC-AC-10002167;2;20 %;Standard Class
CA-2022-125745;30/06/2022;04/07/2022;DV-13045;FUR-FU-10001591;2;20 %;Standard Class
CA-2022-107132;26/06/2022;03/07/2022;SC-20260;OFF-BI-10001071;2;20 %;Standard Class
CA-2022-134796;25/06/2022;02/07/2022;FM-14380;TEC-PH-10003505;2;20 %;Standard Class
CA-2022-143861;12/06/2022;18/06/2022;LC-16885;FUR-FU-10001546;2;20 %;Standard Class
CA-2022-117821;12/06/2022;18/06/2022;HG-15025;TEC-AC-10004469;2;20 %;Standard Class
CA-2022-158407;04/06/2022;11/06/2022;LW-16990;FUR-FU-10001967;2;20 %;Standard Class
CA-2022-143294;02/06/2022;06/06/2022;JD-15790;OFF-PA-10000743;2;20 %;Standard Class
CA-2022-164042;23/05/2022;29/05/2022;KL-16645;OFF-FA-10000840;2;20 %;Standard Class
US-2022-166688;20/05/2022;27/05/2022;RD-19480;OFF-BI-10004040;2;20 %;Standard Class
US-2022-152569;15/05/2022;21/05/2022;JD-16015;OFF-PA-10001736;2;20 %;Standard Class
CA-2022-104318;13/05/2022;18/05/2022;FH-14275;OFF-AP-10000358;2;20 %;Standard Class
CA-2022-152226;12/05/2022;16/05/2022;JH-15910;OFF-LA-10000443;2;20 %;Standard Class
CA-2022-140298;11/05/2022;15/05/2022;JK-16120;OFF-AR-10003481;2;20 %;Standard Class
CA-2022-132199;03/05/2022;08/05/2022;BO-11350;FUR-FU-10004245;2;20 %;Standard Class
CA-2022-102204;01/05/2022;06/05/2022;CJ-12010;OFF-SU-10001212;2;20 %;Standard Class
US-2022-150847;30/04/2022;06/05/2022;JF-15490;OFF-PA-10004451;2;20 %;Standard Class
CA-2022-124597;30/04/2022;07/05/2022;AS-10630;OFF-LA-10003190;2;20 %;Standard Class
CA-2022-137631;28/04/2022;03/05/2022;JL-15235;TEC-PH-10002624;2;20 %;Standard Class
CA-2022-168102;24/04/2022;30/04/2022;CP-12340;OFF-ST-10001370;2;20 %;Standard Class
US-2022-100482;11/04/2022;15/04/2022;JL-15130;OFF-ST-10001325;2;20 %;Standard Class
CA-2022-165904;07/04/2022;12/04/2022;HR-14770;OFF-AR-10003156;2;20 %;Standard Class
CA-2022-135650;23/03/2022;27/03/2022;AC-10660;OFF-ST-10001809;2;20 %;Standard Class
US-2022-129224;17/03/2022;21/03/2022;AS-10630;OFF-LA-10003190;annulé;20 %;Standard Class
CA-2022-105851;13/03/2022;19/03/2022;SE-20110;OFF-SU-10002881;2;20 %;Standard Class
CA-2022-144638;10/03/2022;15/03/2022;MH-18115;OFF-AR-10003958;2;20 %;Standard Class
CA-2022-147354;09/03/2022;13/03/2022;KB-16315;TEC-CO-10000971;2;20 %;Standard Class
CA-2022-148642;06/03/2022;12/03/2022;DW-13540;OFF-LA-10000134;2;20 %;Standard Class
CA-2022-142174;04/03/2022;09/03/2022;DP-13000;OFF-PA-10000806;2;20 %;Standard Class
CA-2022-155712;02/03/2022;07/03/2022;KD-16615;OFF-BI-10004224;2;20 %;Standard Class
US-2022-134642;25/02/2022;01/03/2022;SW-20245;FUR-CH-10002880;2;20 %;Standard Class
CA-2022-163265;16/02/2022;22/02/2022;JS-16030;OFF-FA-10004854;2;20 %;Standard Class
CA-2022-161893;23/01/2022;28/01/2022;HP-14815;TEC-AC-10001874;2;20 %;Standard Class
CA-2022-121398;25/12/2022;31/12/2022;FH-14365;OFF-BI-10001718;3;20 %;Standard Class
CA-2022-163671;24/12/2022;31/12/2022;DP-13105;OFF-BI-10001679;3;20 %;Standard Class
CA-2022-154935;24/12/2022;30/12/2022;AR-10540;OFF-BI-10003708;3;20 %;Standard Class
CA-2022-122595;14/12/2022;19/12/2022;GM-14455;TEC-AC-10000474;3;20 %;Standard Class
CA-2022-135377;13/12/2022;17/12/2022;BP-11095;FUR-BO-10004015;3;20 %;Standard Class
CA-2022-134285;07/12/2022;11/12/2022;DS-13180;OFF-FA-10000611;3;20 %;Standard Class
CA-2022-131212;05/12/2022;09/12/2022;AB-10165;OFF-BI-10001617;;20 %;Standard Class
US-2022-149510;03/12/2022;11/12/2022;MC-17575;OFF-AP-10002350;3;20 %;Standard Class
CA-2022-145233;01/12/2022;07/12/2022;DV-13465;TEC-PH-10004977;3;20 %;Standard Class
CA-2022-142090;30/11/2022;05/12/2022;SC-20380;TEC-AC-10002001;3;20 %;Standard Class
CA-2022-155957;26/11/2022;03/12/2022;CC-12610;OFF-AP-10002082;3;20 %;Standard Class
CA-2022-101945;24/11/2022;28/11/2022;GT-14710;OFF-FA-10004248;3;20 %;Standard Class
CA-2022-158120;17/11/2022;22/11/2022;KH-16330;OFF-PA-10003205;3;20 %;Standard Class
CA-2022-130386;12/11/2022;20/11/2022;NG-18430;OFF-PA-10002749;3;20 %;Standard Class
CA-2022-104640;10/11/2022;15/11/2022;FH-14275;OFF-BI-10003925;3;20 %;Standard Class
CA-2022-159667;09/11/2022;13/11/2022;PM-19135;TEC-AC-10002567;3;20 %;Standard Class
CA-2022-119494;09/11/2022;13/11/2022;JE-15610;FUR-CH-10004675;3;20 %;Standard Class
CA-2022-102610;04/11/2022;09/11/2022;CA-12265;TEC-AC-10000303;3;20 %;Standard Class
US-2022-101518;03/11/2022;08/11/2022;PB-19105;TEC-AC-10001553;3;20 %;Standard Class
CA-2022-127285;30/10/2022;04/11/2022;MM-18055;OFF-BI-10004330;3;20 %;Standard Class
CA-2022-117079;23/10/2022;28/10/2022;JR-15700;TEC-PH-10004586;3;20 %;Standard Class
CA-2022-113558;21/10/2022;25/10/2022;PH-18790;FUR-CH-10003379;;20 %;Standard Class
CA-2022-158722;20/10/2022;25/10/2022;MA-17560;OFF-PA-10000176;3;20 %;Standard Class
CA-2022-125990;19/10/2022;23/10/2022;JS-16030;OFF-BI-10004826;3;20 %;Standard Class
CA-2022-159457;19/10/2022;23/10/2022;RD-19480;TEC-PH-10002185;3;20 %;Standard Class
CA-2022-141873;09/10/2022;17/10/2022;HG-14845;OFF-BI-10001031;3;20 %;Standard Class
CA-2022-101749;03/10/2022;07/10/2022;AS-10045;FUR-TA-10001520;3;20 %;Standard Class
CA-2022-149853;03/10/2022;08/10/2022;PO-18850;OFF-PA-10000556;3;20 %;Standard Class
CA-2022-122364;24/09/2022;01/10/2022;FA-14230;TEC-PH-10001817;3;20 %;Standard Class
CA-2022-108910;24/09/2022;01/10/2022;KC-16540;FUR-FU-10002253;3;20 %;Standard Class
CA-2022-121412;23/09/2022;27/09/2022;BG-11695;FUR-FU-10000246;3;20 %;Standard Class
US-2022-108245;22/09/2022;27/09/2022;SH-19975;OFF-EN-10001415;3;20 %;Standard Class
CA-2022-143378;19/09/2022;26/09/2022;JR-16210;TEC-PH-10001425;3;20 %;Standard Class
US-2022-116652;15/09/2022;21/09/2022;RD-19480;FUR-CH-10002961;3;20 %;Standard Class
US-2022-160836;11/09/2022;17/09/2022;CC-12475;OFF-PA-10004239;3;20 %;Standard Class
CA-2022-147228;09/09/2022;15/09/2022;SO-20335;OFF-SU-10001225;3;20 %;Standard Class
CA-2022-124401;07/09/2022;11/09/2022;RD-19900;OFF-ST-10000649;3;20 %;Standard Class
CA-2022-137582;04/09/2022;10/09/2022;CV-12805;OFF-BI-10001757;3;20 %;Standard Class
CA-2022-167626;03/09/2022;09/09/2022;MY-18295;OFF-PA-10003424;3;20 %;Standard Class
CA-2022-114552;02/09/2022;06/09/2022;Dl-13600;FUR-FU-10002960;3;20 %;Standard Class
CA-2022-114216;02/09/2022;06/09/2022;RK-19300;OFF-PA-10002195;3;20 %;Standard Class
CA-2022-113075;02/09/2022;06/09/2022;MC-18100;TEC-AC-10003441;3;20 %;Standard Class
CA-2022-107321;31/08/2022;05/09/2022;AW-10930;OFF-BI-10004022;3;20 %;Standard Class
CA-2022-117646;21/08/2022;28/08/2022;SC-20845;OFF-ST-10000036;3;20 %;Standard Class
US-2022-100398;19/08/2022;25/08/2022;DO-13435;OFF-BI-10002133;3;20 %;Standard Class
CA-2022-112809;18/08/2022;26/08/2022;RA-19915;OFF-ST-10002276;3;20 %;Standard Class
CA-2022-105921;14/08/2022;21/08/2022;JM-15250;FUR-TA-10001095;3;20 %;Standard Class
CA-2022-167542;13/08/2022;22/08/2022;KD-16495;OFF-LA-10004093;3;20 %;Standard Class
CA-2022-100580;13/08/2022;22/08/2022;MK-17905;OFF-BI-10000069;3;20 %;Standard Class
CA-2022-156776;07/08/2022;14/08/2022;JL-15505;TEC-PH-10002415;3;20 %;Standard Class
CA-2022-136609;06/08/2022;14/08/2022;TB-21355;OFF-PA-10004381;3;20 %;Standard Class
CA-2022-140781;03/08/2022;08/08/2022;AB-10105;TEC-AC-10000682;3;20 %;Standard Class
CA-2022-121909;31/07/2022;07/08/2022;EA-14035;OFF-PA-10003790;3;20 %;Standard Class
CA-2022-125367;23/07/2022;31/07/2022;NM-18445;OFF-BI-10002412;3;20 %;Standard Class
CA-2022-117240;23/07/2022;31/07/2022;CP-12340;OFF-BI-10000848;3;20 %;Standard Class
US-2022-101721;23/07/2022;31/07/2022;MY-17380;OFF-PA-10003641;3;20 %;Standard Class
US-2022-152842;16/07/2022;25/07/2022;NF-18385;FUR-CH-10004218;3;20 %;Standard Class
US-2022-101784;06/07/2022;11/07/2022;PO-18850;FUR-CH-10001146;3;20 %;Standard Class
CA-2022-102946;30/06/2022;04/07/2022;VP-21730;OFF-BI-10004492;3;20 %;Standard Class
CA-2022-105074;24/06/2022;29/06/2022;MB-17305;OFF-PA-10002666;3;20 %;Standard Class
CA-2022-136826;16/06/2022;21/06/2022;CB-12535;OFF-AR-10003602;3;20 %;Standard Class
CA-2022-119284;15/06/2022;25/06/2022;TS-21205;TEC-PH-10001051;3;20 %;Standard Class
CA-2022-126914;15/06/2022;19/06/2022;JE-15715;FUR-CH-10000847;3;20 %;Standard Class
CA-2022-169901;15/06/2022;19/06/2022;CC-12550;TEC-PH-10002293;3;20 %;Standard Class
CA-2022-158071;10/06/2022;15/06/2022;BD-11320;TEC-PH-10002923;3;20 %;Standard Class
CA-2022-157413;01/06/2022;05/06/2022;BW-11065;OFF-ST-10002756;3;20 %;Standard Class
CA-2022-161340;28/05/2022;03/06/2022;AM-10360;OFF-PA-10002464;3;20 %;Standard Class
CA-2022-151855;27/05/2022;01/06/2022;BW-11110;TEC-AC-10002380;3;20 %;Standard Class
CA-2022-112473;25/05/2022;29/05/2022;JL-15505;OFF-ST-10002182;3;20 %;Standard Class
CA-2022-167003;23/05/2022;27/05/2022;VS-21820;FUR-TA-10001520;3;20 %;Standard Class
CA-2022-112865;18/05/2022;22/05/2022;BH-11710;TEC-AC-10000387;3;20 %;Standard Class
US-2022-106796;12/05/2022;17/05/2022;JP-16135;OFF-AR-10003504;3;20 %;Standard Class
CA-2022-140242;06/05/2022;12/05/2022;ML-17755;OFF-AR-10004752;3;20 %;Standard Class
CA-2022-120894;28/04/2022;02/05/2022;JL-15130;OFF-AP-10000252;3;20 %;Standard Class
CA-2022-169054;22/04/2022;26/04/2022;MO-17800;FUR-FU-10001488;3;20 %;Standard Class
CA-2022-114412;15/04/2022;19/04/2022;AA-10480;OFF-PA-10002365;3;20 %;Standard Class
CA-2022-131233;14/04/2022;18/04/2022;CS-12355;OFF-BI-10000829;3;20 %;Standard Class
CA-2022-112039;25/03/2022;29/03/2022;JC-15775;TEC-PH-10000984;3;20 %;Standard Class
CA-2022-160087;18/03/2022;22/03/2022;EN-13780;OFF-AR-10001915;3;20 %;Standard Class
CA-2022-163902;02/03/2022;07/03/2022;MY-17380;TEC-PH-10000675;3;20 %;Standard Class
CA-2022-135937;20/02/2022;27/02/2022;KM-16375;TEC-PH-10004447;3;20 %;Standard Class
CA-2022-161809;20/01/2022;24/01/2022;TH-21100;TEC-PH-10004922;3;20 %;Standard Class
CA-2022-127306;14/01/2022;19/01/2022;BH-11710;OFF-EN-10001219;3;20 %;Standard Class
CA-2022-128734;24/12/2022;30/12/2022;JL-15175;FUR-FU-10001731;4;20 %;Standard Class
CA-2022-140627;23/12/2022;28/12/2022;DK-12985;FUR-FU-10000087;4;20 %;Standard Class
CA-2022-104381;16/12/2022;20/12/2022;RD-19810;OFF-BI-10001628;4;20 %;Standard Class
CA-2022-101798;11/12/2022;16/12/2022;MV-18190;OFF-BI-10000050;4;20 %;Standard Class
CA-2022-167150;10/12/2022;16/12/2022;BP-11185;OFF-BI-10001097;4;20 %;Standard Class
CA-2022-108329;09/12/2022;14/12/2022;LE-16810;TEC-PH-10001918;4;20 %;Standard Class
CA-2022-122539;01/12/2022;06/12/2022;SC-20305;OFF-LA-10004853;4;20 %;Standard Class
CA-2022-133207;27/11/2022;03/12/2022;DO-13645;TEC-PH-10004100;4;20 %;Standard Class
CA-2022-108112;15/11/2022;20/11/2022;DK-12895;FUR-FU-10003553;4;20 %;Standard Class
CA-2022-113873;13/11/2022;18/11/2022;KE-16420;OFF-ST-10000943;4;20 %;Standard Class
CA-2022-152737;07/11/2022;11/11/2022;TS-21505;OFF-BI-10002982;4;20 %;Standard Class
US-2022-122672;04/11/2022;09/11/2022;HG-14965;TEC-AC-10002323;4;20 %;Standard Class
CA-2022-135419;03/11/2022;08/11/2022;BG-11740;FUR-TA-10001086;4;20 %;Standard Class
US-2022-168802;03/11/2022;07/11/2022;JO-15145;OFF-BI-10002393;4;20 %;Standard Class
CA-2022-117114;31/10/2022;05/11/2022;CY-12745;TEC-PH-10004042;4;20 %;Standard Class
CA-2022-152807;30/10/2022;04/11/2022;MC-18100;OFF-PA-10004355;4;20 %;Standard Class
CA-2022-148166;21/10/2022;26/10/2022;NK-18490;OFF-AR-10004956;4;20 %;Standard Class
CA-2022-148404;07/10/2022;14/10/2022;Dp-13240;OFF-ST-10003208;4;20 %;Standard Class
CA-2022-131807;05/10/2022;11/10/2022;GG-14650;FUR-CH-10001190;4;20 %;Standard Class
CA-2022-129490;26/09/2022;30/09/2022;SJ-20125;FUR-CH-10003298;4;20 %;Standard Class
CA-2022-122112;25/09/2022;01/10/2022;CA-11965;OFF-EN-10004459;4;20 %;Standard Class
CA-2022-134173;16/09/2022;20/09/2022;AB-10060;OFF-PA-10004355;4;20 %;Standard Class
CA-2022-123036;10/09/2022;17/09/2022;HA-14905;TEC-AC-10003499;4;20 %;Standard Class
CA-2022-120999;10/09/2022;16/09/2022;LC-16930;TEC-PH-10004093;4;20 %;Standard Class
CA-2022-139444;09/09/2022;14/09/2022;GK-14620;OFF-LA-10000134;4;20 %;Standard Class
CA-2022-102736;05/09/2022;09/09/2022;LP-17095;TEC-AC-10004568;4;20 %;Standard Class
CA-2022-117394;04/09/2022;10/09/2022;MM-17920;TEC-AC-10000199;4;20 %;Standard Class
CA-2022-146136;03/09/2022;09/09/2022;AP-10915;OFF-EN-10001219;4;20 %;Standard Class
CA-2022-111220;02/09/2022;08/09/2022;JS-15595;OFF-FA-10002280;4;20 %;Standard Class
CA-2022-126067;28/08/2022;04/09/2022;KN-16705;TEC-PH-10000912;4;20 %;Standard Class
CA-2022-123043;24/08/2022;30/08/2022;AH-10195;OFF-BI-10003910;4;20 %;Standard Class
CA-2022-106537;12/08/2022;19/08/2022;RH-19495;OFF-PA-10000223;4;20 %;Standard Class
CA-2022-130841;28/07/2022;05/08/2022;MH-17620;OFF-BI-10000145;4;20 %;Standard Class
CA-2022-110940;23/07/2022;31/07/2022;AZ-10750;OFF-AR-10000380;4;20 %;Standard Class
CA-2022-111647;03/07/2022;10/07/2022;RD-19585;TEC-PH-10002726;4;20 %;Standard Class
CA-2022-104850;13/06/2022;18/06/2022;TW-21025;FUR-CH-10003774;4;20 %;Standard Class
CA-2022-141614;05/06/2022;10/06/2022;NS-18640;OFF-PA-10002787;4;20 %;Standard Class
US-2022-112613;28/05/2022;03/06/2022;JH-15910;TEC-PH-10001536;4;20 %;Standard Class
CA-2022-145779;06/05/2022;11/05/2022;DB-13615;OFF-PA-10002254;4;20 %;Standard Class
US-2022-162124;06/05/2022;11/05/2022;JF-15490;TEC-AC-10001990;4;20 %;Standard Class
CA-2022-135692;27/04/2022;02/05/2022;CV-12805;OFF-LA-10001158;4;20 %;Standard Class
CA-2022-129707;25/04/2022;30/04/2022;LH-16750;OFF-AR-10000246;4;20 %;Standard Class
US-2022-132031;23/04/2022;29/04/2022;PN-18775;FUR-BO-10001972;4;20 %;Standard Class
US-2022-129203;17/04/2022;22/04/2022;BM-11575;OFF-ST-10001418;4;20 %;Standard Class
US-2022-141698;15/04/2022;19/04/2022;SD-20485;OFF-PA-10001826;4;20 %;Standard Class
CA-2022-135069;10/04/2022;15/04/2022;BS-11755;OFF-AP-10000026;4;20 %;Standard Class
CA-2022-157903;04/04/2022;09/04/2022;AM-10705;TEC-PH-10004345;4;20 %;Standard Class
CA-2022-131156;03/04/2022;08/04/2022;KH-16360;FUR-FU-10001940;4;20 %;Standard Class
CA-2022-146024;02/03/2022;07/03/2022;SC-20770;OFF-SU-10001935;4;20 %;Standard Class
CA-2022-148999;30/01/2022;04/02/2022;EB-13870;FUR-CH-10002044;4;20 %;Standard Class
CA-2022-141782;21/01/2022;25/01/2022;BE-11410;OFF-EN-10002230;4;20 %;Standard Class
CA-2022-107503;01/01/2022;08/01/2022;GA-14725;FUR-FU-10003878;4;20 %;Standard Class
CA-2022-104927;22/12/2022;26/12/2022;AG-10330;OFF-PA-10000019;5;20 %;Standard Class
CA-2022-116946;19/12/2022;25/12/2022;TS-21505;FUR-FU-10000320;5;20 %;Standard Class
CA-2022-133431;17/12/2022;24/12/2022;LC-17140;OFF-BI-10000605;5;20 %;Standard Class
CA-2022-139402;09/12/2022;14/12/2022;NC-18535;OFF-PA-10004359;5;20 %;Standard Class
CA-2022-148691;03/12/2022;09/12/2022;CS-12460;OFF-BI-10001524;5;20 %;Standard Class
CA-2022-104108;02/12/2022;06/12/2022;RP-19855;OFF-AR-10000817;5;20 %;Standard Class
CA-2022-164917;02/12/2022;07/12/2022;MK-17905;OFF-AR-10004344;5;20 %;Standard Class
CA-2022-144862;01/12/2022;08/12/2022;EH-14005;OFF-EN-10003040;5;20 %;Standard Class
CA-2022-113355;01/12/2022;07/12/2022;SJ-20215;TEC-PH-10004912;5;20 %;Standard Class
CA-2022-101805;01/12/2022;06/12/2022;SH-19975;OFF-BI-10002003;5;20 %;Standard Class
CA-2022-132185;27/11/2022;02/12/2022;DB-13615;OFF-AR-10000422;5;20 %;Standard Class
CA-2022-124765;25/11/2022;30/11/2022;HZ-14950;FUR-BO-10003965;5;20 %;Standard Class
CA-2022-150266;25/11/2022;29/11/2022;RO-19780;TEC-PH-10003437;5;20 %;Standard Class
CA-2022-166919;23/11/2022;27/11/2022;AH-10210;TEC-PH-10001305;5;20 %;Standard Class
CA-2022-110443;21/11/2022;25/11/2022;CK-12205;OFF-BI-10001670;5;20 %;Standard Class
US-2022-161193;20/11/2022;26/11/2022;BT-11680;FUR-FU-10001861;5;20 %;Standard Class
US-2022-110996;20/11/2022;26/11/2022;KA-16525;FUR-CH-10003956;5;20 %;Standard Class
US-2022-140312;13/11/2022;18/11/2022;KL-16645;TEC-PH-10003442;5;20 %;Standard Class
CA-2022-154088;12/11/2022;19/11/2022;LB-16735;OFF-PA-10003651;5;20 %;Standard Class
CA-2022-167661;05/10/2022;10/10/2022;MP-18175;OFF-BI-10002571;5;20 %;Standard Class
CA-2022-105914;02/10/2022;09/10/2022;PV-18985;OFF-BI-10002854;5;20 %;Standard Class
CA-2022-118402;29/09/2022;04/10/2022;JO-15280;OFF-ST-10001418;5;20 %;Standard Class
CA-2022-134096;24/09/2022;01/10/2022;PP-18955;TEC-PH-10000526;5;20 %;Standard Class
CA-2022-145737;15/09/2022;20/09/2022;AB-10165;OFF-PA-10001033;5;20 %;Standard Class
CA-2022-139493;13/09/2022;17/09/2022;SG-20605;OFF-AR-10003158;5;20 %;Standard Class
CA-2022-169439;09/09/2022;13/09/2022;LC-17140;OFF-AR-10001374;5;20 %;Standard Class
CA-2022-100160;07/09/2022;11/09/2022;CB-12025;OFF-LA-10002475;5;20 %;Standard Class
CA-2022-123022;03/09/2022;09/09/2022;SC-20050;OFF-BI-10002225;5;20 %;Standard Class
US-2022-163657;02/09/2022;07/09/2022;JL-15235;OFF-BI-10000138;5;20 %;Standard Class
CA-2022-114636;25/08/2022;31/08/2022;GA-14725;OFF-PA-10001790;5;20 %;Standard Class
US-2022-155999;07/08/2022;14/08/2022;JK-15370;TEC-PH-10000439;5;20 %;Standard Class
CA-2022-132122;09/07/2022;17/07/2022;JH-15820;OFF-ST-10003692;5;20 %;Standard Class
CA-2022-111178;15/06/2022;20/06/2022;TD-20995;OFF-AR-10001954;5;20 %;Standard Class
CA-2022-104745;29/05/2022;05/06/2022;GT-14755;OFF-PA-10002036;5;20 %;Standard Class
CA-2022-145765;28/05/2022;04/06/2022;CM-11815;TEC-PH-10001305;5;20 %;Standard Class
US-2022-147998;19/05/2022;24/05/2022;SA-20830;OFF-BI-10002082;5;20 %;Standard Class
CA-2022-162978;04/05/2022;09/05/2022;LW-16990;TEC-PH-10003092;5;20 %;Standard Class
CA-2022-150609;30/04/2022;07/05/2022;NZ-18565;OFF-BI-10002071;5;20 %;Standard Class
CA-2022-109946;16/04/2022;22/04/2022;PL-18925;OFF-AR-10001419;5;20 %;Standard Class
CA-2022-141663;13/04/2022;17/04/2022;DP-13105;OFF-FA-10004076;5;20 %;Standard Class
US-2022-141677;26/03/2022;06/04/2022;HK-14890;TEC-AC-10000158;5;20 %;Standard Class
CA-2022-104080;08/03/2022;12/03/2022;AH-10210;OFF-BI-10003876;5;20 %;Standard Class
CA-2022-127397;24/02/2022;02/03/2022;ES-14080;OFF-PA-10001125;5;20 %;Standard Class
CA-2022-139080;23/01/2022;30/01/2022;CS-12250;OFF-BI-10001757;5;20 %;Standard Class
CA-2022-151750;01/01/2022;15/01/2022;JM-15250;OFF-ST-10002743;5;20 %;Standard Class
CA-2022-162880;25/12/2022;30/12/2022;GD-14590;OFF-BI-10003314;1;20 %;Standard Class
CA-2022-100230;11/12/2022;17/12/2022;AA-10375;OFF-BI-10002498;1;20 %;Standard Class
CA-2022-157651;10/12/2022;17/12/2022;HA-14920;TEC-AC-10003116;annulé;20 %;Standard Class
US-2022-145366;09/12/2022;14/12/2022;CA-12310;OFF-ST-10004180;1;20 %;Standard Class
CA-2022-148012;09/12/2022;13/12/2022;KM-16225;OFF-AR-10004757;1;20 %;Standard Class
