Prod ID;Produit;Prix Unitaire;Coût;Cat;Sous Cat
OFF-PA-10000955;Southworth 25% Cotton Granite Paper & Envelopes;6.54;3.5;Office Supplies;Paper
OFF-PA-10000994;Xerox 1915;104.85;54.5;Office Supplies;Paper
OFF-PA-10001001;Snap-A-Way Black Print Carbonless Speed Message. No Reply Area. Duplicate;29.14;15.4;Office Supplies;Paper
OFF-PA-10001019;Xerox 1884;19.98;10.6;Office Supplies;Paper
OFF-PA-10001033;Xerox 1893;40.99;20.9;Office Supplies;Paper
OFF-PA-10001125;Xerox 1988;30.98;17;Office Supplies;Paper
OFF-PA-10001144;Xerox 1913;55.48;28.8;Office Supplies;Paper
OFF-PA-10001166;Xerox 2;6.48;3.4;Office Supplies;Paper
OFF-PA-10001184;Xerox 1903;5.98;3;Office Supplies;Paper
OFF-PA-10001204;Xerox 1972;5.28;2.9;Office Supplies;Paper
OFF-PA-10001215;Xerox 1963;5.28;2.9;Office Supplies;Paper
OFF-PA-10001243;Xerox 1983;5.98;3;Office Supplies;Paper
OFF-PA-10001246;Xerox 215;6.48;3.4;Office Supplies;Paper
OFF-PA-10001260;TOPS Money Receipt Book. Consecutively Numbered in Red.;8.01;4.4;Office Supplies;Paper
OFF-PA-10001274;Loose Memo Sheets;3.65;1.9;Office Supplies;Paper
OFF-PA-10001281;Computer Printout Paper with Letter-Trim Fine Perforations;47.9;24.9;Office Supplies;Paper
OFF-PA-10001289;White Computer Printout Paper by Universal;38.76;19.8;Office Supplies;Paper
OFF-PA-10001293;Xerox 1946;6.48;3.4;Office Supplies;Paper
OFF-PA-10001295;Computer Printout Paper with Letter-Trim Perforations;18.97;9.9;Office Supplies;Paper
OFF-PA-10001307;Important Message Pads. 50 4-1/4 x 5-1/2 Forms per Pad;4.2;2.1;Office Supplies;Paper
OFF-PA-10001357;Xerox 1886;47.9;24.9;Office Supplies;Paper
OFF-PA-10001363;Xerox 1933;12.28;6.5;Office Supplies;Paper
OFF-PA-10001450;Rediform S.O.S. Phone Message Books;4.98;2.5;Office Supplies;Paper
OFF-PA-10001457;White GlueTop Scratch Pads;15.04;8.1;Office Supplies;Paper
OFF-PA-10001461;HP Office Paper (20Lb. and 87 Bright);6.68;3.5;Office Supplies;Paper
OFF-PA-10001471;Strathmore Photo Frame Cards;7.31;3.9;Office Supplies;Paper
OFF-PA-10001497;Xerox 1914;54.96;28;Office Supplies;Paper
OFF-PA-10001509;"Recycled Desk Saver Line ""While You Were Out"" Book. 5 1/2"" X 4""";8.95;4.8;Office Supplies;Paper
OFF-PA-10001526;Xerox 1949;4.98;2.5;Office Supplies;Paper
OFF-PA-10001534;Xerox 230;6.48;3.4;Office Supplies;Paper
OFF-PA-10001560;Adams Telephone Message Books. 5 1/4” x 11”;6.04;3.2;Office Supplies;Paper
OFF-PA-10001569;Xerox 232;6.48;3.4;Office Supplies;Paper
OFF-PA-10001583;"1/4 Fold Party Design Invitations & White Envelopes. 24 8-1/2"" X 11"" Cards. 25 Env./Pack";7.35;3.9;Office Supplies;Paper
OFF-PA-10001593;Xerox 1947;5.98;3.3;Office Supplies;Paper
OFF-PA-10001609;Tops Wirebound Message Log Books;3.29;1.8;Office Supplies;Paper
OFF-PA-10001622;"Ampad Poly Cover Wirebound Steno Book. 6"" x 9"" Assorted Colors. Gregg Ruled";4.54;2.5;Office Supplies;Paper
OFF-PA-10001639;Xerox 203;6.48;3.4;Office Supplies;Paper
OFF-PA-10001661;Xerox 1922;4.98;2.5;Office Supplies;Paper
OFF-PA-10001667;Great White Multi-Use Recycled Paper (20Lb. and 84 Bright);5.98;3.3;Office Supplies;Paper
OFF-PA-10001685;Easy-staple paper;10.14;5.2;Office Supplies;Paper
OFF-PA-10001712;Xerox 1948;9.99;5.5;Office Supplies;Paper
OFF-PA-10001725;Xerox 1892;38.76;19.8;Office Supplies;Paper
OFF-PA-10001736;Xerox 1880;35.44;18.8;Office Supplies;Paper
OFF-PA-10001745;"Wirebound Message Books. 2 7/8"" x 5"". 3 Forms per Page";7.04;3.7;Office Supplies;Paper
OFF-PA-10001752;Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright);4.98;2.5;Office Supplies;Paper
OFF-PA-10001763;Xerox 1896;9.99;5.5;Office Supplies;Paper
OFF-PA-10001776;"Wirebound Message Books. Four 2 3/4"" x 5"" Forms per Page. 600 Sets per Book";9.27;4.9;Office Supplies;Paper
OFF-PA-10001790;Xerox 1910;48.04;25;Office Supplies;Paper
OFF-PA-10001800;Xerox 220;6.48;3.4;Office Supplies;Paper
OFF-PA-10001801;Xerox 193;5.98;3;Office Supplies;Paper
OFF-PA-10001804;Xerox 195;6.68;3.5;Office Supplies;Paper
OFF-PA-10001815;Xerox 1885;48.04;25;Office Supplies;Paper
OFF-PA-10001826;Xerox 207;6.48;3.4;Office Supplies;Paper
OFF-PA-10001837;Xerox 1976;6.48;3.4;Office Supplies;Paper
OFF-PA-10001838;"Adams Telephone Message Book W/Dividers/Space For Phone Numbers. 5 1/4""X8 1/2"". 300/Messages";5.88;3;Office Supplies;Paper
OFF-PA-10001846;Xerox 1899;5.78;2.9;Office Supplies;Paper
OFF-PA-10001870;Xerox 202;6.48;3.4;Office Supplies;Paper
OFF-PA-10001878;Xerox 1891;48.91;25.9;Office Supplies;Paper
OFF-PA-10001892;"Rediform Wirebound ""Phone Memo"" Message Book. 11 x 5-3/4";7.64;3.9;Office Supplies;Paper
OFF-PA-10001934;Xerox 1993;6.48;3.3;Office Supplies;Paper
OFF-PA-10001937;Xerox 21;6.48;3.4;Office Supplies;Paper
OFF-PA-10001947;Xerox 1974;5.98;3;Office Supplies;Paper
OFF-PA-10001950;Southworth 25% Cotton Antique Laid Paper & Envelopes;8.34;4.6;Office Supplies;Paper
OFF-PA-10001952;Xerox 1902;22.84;12.3;Office Supplies;Paper
OFF-PA-10001954;Xerox 1964;22.84;12.3;Office Supplies;Paper
OFF-PA-10001970;Xerox 1881;12.28;6.5;Office Supplies;Paper
OFF-PA-10001972;Xerox 214;6.48;3.4;Office Supplies;Paper
OFF-PA-10001977;Xerox 194;55.48;28.8;Office Supplies;Paper
OFF-PA-10001994;"Ink Jet Note and Greeting Cards. 8-1/2"" x 5-1/2"" Card Size";22.48;12.1;Office Supplies;Paper
OFF-PA-10002001;Xerox 1984;6.48;3.3;Office Supplies;Paper
OFF-PA-10002005;Xerox 225;6.48;3.4;Office Supplies;Paper
OFF-PA-10002036;Xerox 1930;6.48;3.3;Office Supplies;Paper
OFF-PA-10002105;Xerox 223;6.48;3.4;Office Supplies;Paper
OFF-PA-10002109;Wirebound Voice Message Log Book;4.76;2.6;Office Supplies;Paper
OFF-PA-10002120;Xerox 1889;54.96;28;Office Supplies;Paper
OFF-PA-10002137;Southworth 100% Résumé Paper. 24lb.;7.78;4.3;Office Supplies;Paper
OFF-PA-10002160;Xerox 1978;5.78;2.9;Office Supplies;Paper
OFF-PA-10002195;"RSVP Cards & Envelopes. Blank White. 8-1/2"" X 11"". 24 Cards/25 Envelopes/Set";5.08;2.7;Office Supplies;Paper
OFF-PA-10002222;"Xerox Color Copier Paper. 11"" x 17"". Ream";22.84;12.3;Office Supplies;Paper
OFF-PA-10002230;Xerox 1897;4.98;2.5;Office Supplies;Paper
OFF-PA-10002245;Xerox 1895;5.98;3.3;Office Supplies;Paper
OFF-PA-10002246;Wirebound Four 2-3/4 x 5 Forms per Page. 400 Sets per Book;6.45;3.3;Office Supplies;Paper
OFF-PA-10002250;Things To Do Today Pad;5.87;3.1;Office Supplies;Paper
OFF-PA-10002254;Xerox 1883;26.38;14.2;Office Supplies;Paper
OFF-PA-10002259;"Geographics Note Cards. Blank. White. 8 1/2"" x 11""";11.19;5.8;Office Supplies;Paper
OFF-PA-10002262;Xerox 192;6.48;3.4;Office Supplies;Paper
OFF-PA-10002319;Xerox 1944;38.76;19.8;Office Supplies;Paper
OFF-PA-10002333;"Universal Ultra Bright White Copier/Laser Paper. 8 1/2"" x 11"". Ream";6.48;3.3;Office Supplies;Paper
OFF-PA-10002365;Xerox 1967;6.48;3.4;Office Supplies;Paper
OFF-PA-10002377;Xerox 1916;48.94;24.5;Office Supplies;Paper
OFF-PA-10002421;Embossed Ink Jet Note Cards;22.57;11.7;Office Supplies;Paper
OFF-PA-10002464;HP Office Recycled Paper (20Lb. and 87 Bright);5.78;2.9;Office Supplies;Paper
OFF-PA-10002479;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);5.28;2.9;Office Supplies;Paper
OFF-PA-10002499;Xerox 1890;48.94;24.5;Office Supplies;Paper
OFF-PA-10002552;Xerox 1958;6.48;3.4;Office Supplies;Paper
OFF-PA-10002558;Xerox 1938;47.9;24.9;Office Supplies;Paper
OFF-PA-10002581;Xerox 1951;30.98;17;Office Supplies;Paper
OFF-PA-10002586;Xerox 1970;4.98;2.6;Office Supplies;Paper
OFF-PA-10002606;Xerox 1928;5.28;2.9;Office Supplies;Paper
OFF-PA-10002615;"Ampad Gold Fibre Wirebound Steno Books. 6"" x 9"". Gregg Ruled";4.41;2.4;Office Supplies;Paper
OFF-PA-10002659;Avoid Verbal Orders Carbonless Minifold Book;3.38;1.8;Office Supplies;Paper
OFF-PA-10002666;Southworth 25% Cotton Linen-Finish Paper & Envelopes;9.06;5;Office Supplies;Paper
OFF-PA-10002689;Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright);6.48;3.4;Office Supplies;Paper
OFF-PA-10002709;Xerox 1956;5.98;3;Office Supplies;Paper
OFF-PA-10002713;Adams Phone Message Book. 200 Message Capacity. 8 1/16” x 11”;6.88;3.7;Office Supplies;Paper
OFF-PA-10002741;Xerox 1980;4.28;2.4;Office Supplies;Paper
OFF-PA-10002749;Wirebound Message Books. 5-1/2 x 4 Forms. 2 or 4 Forms per Page;6.69;3.4;Office Supplies;Paper
OFF-PA-10002751;Xerox 1920;5.98;3.3;Office Supplies;Paper
OFF-PA-10002764;Easy-staple paper;11.34;5.8;Office Supplies;Paper
OFF-PA-10002787;Xerox 227;6.48;3.4;Office Supplies;Paper
OFF-PA-10002870;Ampad Phone Message Book. Recycled. 400 Message Capacity. 5 ¾” x 11”;6.24;3.4;Office Supplies;Paper
OFF-PA-10002893;"Wirebound Service Call Books. 5 1/2"" x 4""";9.68;5;Office Supplies;Paper
OFF-PA-10002923;Xerox 1942;48.94;24.5;Office Supplies;Paper
OFF-PA-10002947;Xerox 1923;6.68;3.5;Office Supplies;Paper
OFF-PA-10002960;Xerox 1926;4.98;2.6;Office Supplies;Paper
OFF-PA-10002968;Xerox 1973;22.84;12.3;Office Supplies;Paper
OFF-PA-10002986;Xerox 1898;6.68;3.5;Office Supplies;Paper
OFF-PA-10003001;Xerox 1986;6.68;3.5;Office Supplies;Paper
OFF-PA-10003016;"Adams ""While You Were Out"" Message Pads";3.14;1.7;Office Supplies;Paper
OFF-PA-10003022;Xerox 1992;5.98;3;Office Supplies;Paper
OFF-PA-10003036;"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";7.28;3.9;Office Supplies;Paper
OFF-PA-10003039;Xerox 1960;30.98;17;Office Supplies;Paper
OFF-PA-10003063;EcoTones Memo Sheets;4;2.1;Office Supplies;Paper
OFF-PA-10003072;"Eureka Recycled Copy Paper 8 1/2"" x 11"". Ream";6.48;3.4;Office Supplies;Paper
OFF-PA-10003127;Easy-staple paper;26.38;14.2;Office Supplies;Paper
OFF-PA-10003129;Tops White Computer Printout Paper;48.91;25.9;Office Supplies;Paper
OFF-PA-10003134;Xerox 1937;48.04;25;Office Supplies;Paper
OFF-PA-10003172;Xerox 1996;6.48;3.4;Office Supplies;Paper
OFF-PA-10003177;Xerox 1999;6.48;3.4;Office Supplies;Paper
OFF-PA-10003205;Wirebound Message Forms. Four 2 3/4 x 5 Forms per Page. Pink Paper;8.17;4.3;Office Supplies;Paper
OFF-PA-10003228;Xerox 1917;48.91;25.9;Office Supplies;Paper
OFF-PA-10003256;Avery Personal Creations Heavyweight Cards;11.54;6;Office Supplies;Paper
OFF-PA-10003270;Xerox 1954;5.28;2.9;Office Supplies;Paper
OFF-PA-10003302;Xerox 1906;35.44;18.8;Office Supplies;Paper
OFF-PA-10003309;Xerox 211;6.48;3.4;Office Supplies;Paper
OFF-PA-10003349;Xerox 1957;6.48;3.3;Office Supplies;Paper
OFF-PA-10003363;Xerox 204;6.48;3.4;Office Supplies;Paper
OFF-PA-10003395;Xerox 1941;104.85;54.5;Office Supplies;Paper
OFF-PA-10003424;"""While you Were Out"" Message Book. One Form per Page";3.71;1.9;Office Supplies;Paper
OFF-PA-10003441;Xerox 226;6.48;3.4;Office Supplies;Paper
OFF-PA-10003465;Xerox 1912;18.97;9.9;Office Supplies;Paper
OFF-PA-10003543;Xerox 1985;6.48;3.4;Office Supplies;Paper
OFF-PA-10003591;Southworth 100% Cotton The Best Paper;11.48;5.7;Office Supplies;Paper
OFF-PA-10003625;Xerox 1979;30.98;17;Office Supplies;Paper
OFF-PA-10003641;Xerox 1909;26.38;14.2;Office Supplies;Paper
OFF-PA-10003651;Xerox 1968;6.68;3.5;Office Supplies;Paper
OFF-PA-10003656;Xerox 1935;26.38;14.2;Office Supplies;Paper
OFF-PA-10003657;Xerox 1927;4.28;2.4;Office Supplies;Paper
OFF-PA-10003673;Strathmore Photo Mount Cards;6.78;3.7;Office Supplies;Paper
OFF-PA-10003724;Wirebound Message Book. 4 per Page;5.43;2.8;Office Supplies;Paper
OFF-PA-10003729;Xerox 1998;6.48;3.4;Office Supplies;Paper
OFF-PA-10003739;Xerox 1969;5.78;2.9;Office Supplies;Paper
OFF-PA-10003790;Xerox 1991;22.84;12.3;Office Supplies;Paper
OFF-PA-10003797;Xerox 209;6.48;3.4;Office Supplies;Paper
OFF-PA-10003823;Xerox 197;30.98;17;Office Supplies;Paper
OFF-PA-10003845;Xerox 1987;5.78;2.9;Office Supplies;Paper
OFF-PA-10003848;Xerox 1997;6.48;3.4;Office Supplies;Paper
OFF-PA-10003883;"Message Book. Phone. Wirebound Standard Line Memo. 2 3/4"" X 5""";6.55;3.5;Office Supplies;Paper
OFF-PA-10003892;Xerox 1943;48.91;25.9;Office Supplies;Paper
OFF-PA-10003893;Xerox 1962;4.28;2.4;Office Supplies;Paper
OFF-PA-10003919;Xerox 1989;4.98;2.6;Office Supplies;Paper
OFF-PA-10003936;Xerox 1994;6.48;3.4;Office Supplies;Paper
OFF-PA-10003953;Xerox 218;6.48;3.4;Office Supplies;Paper
OFF-PA-10003971;Xerox 1965;5.98;3;Office Supplies;Paper
OFF-PA-10004000;While You Were Out Pads. 50 per Pad. 4 x 5 1/4. Green Cycle;4.73;2.4;Office Supplies;Paper
OFF-PA-10004022;Hammermill Color Copier Paper (28Lb. and 96 Bright);9.99;5.5;Office Supplies;Paper
OFF-PA-10004039;Xerox 1882;55.98;28.5;Office Supplies;Paper
OFF-PA-10004040;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);5.98;3;Office Supplies;Paper
OFF-PA-10004041;"It's Hot Message Books with Stickers. 2 3/4"" x 5""";7.4;4.1;Office Supplies;Paper
OFF-PA-10004071;Eaton Premium Continuous-Feed Paper. 25% Cotton. Letter Size. White. 1000 Shts/Box;55.48;28.8;Office Supplies;Paper
OFF-PA-10004082;Adams Telephone Message Book w/Frequently-Called Numbers Space. 400 Messages per Book;7.98;4;Office Supplies;Paper
OFF-PA-10004092;Tops Green Bar Computer Printout Paper;48.94;24.5;Office Supplies;Paper
OFF-PA-10004100;Xerox 216;6.48;3.4;Office Supplies;Paper
OFF-PA-10004101;Xerox 1894;6.48;3.4;Office Supplies;Paper
OFF-PA-10004156;Xerox 188;11.34;5.8;Office Supplies;Paper
OFF-PA-10004239;Xerox 1953;4.28;2.4;Office Supplies;Paper
OFF-PA-10004243;Xerox 1939;18.97;9.9;Office Supplies;Paper
OFF-PA-10004248;Xerox 1990;5.28;2.9;Office Supplies;Paper
OFF-PA-10004255;Xerox 219;6.48;3.4;Office Supplies;Paper
OFF-PA-10004285;Xerox 1959;6.68;3.5;Office Supplies;Paper
OFF-PA-10004327;Xerox 1911;47.9;24.9;Office Supplies;Paper
OFF-PA-10004353;Southworth 25% Cotton Premium Laser Paper and Envelopes;19.98;10.4;Office Supplies;Paper
OFF-PA-10004355;Xerox 231;6.48;3.4;Office Supplies;Paper
OFF-PA-10004359;Multicolor Computer Printout Paper;104.85;54.5;Office Supplies;Paper
OFF-PA-10004381;14-7/8 x 11 Blue Bar Computer Printout Paper;48.04;25;Office Supplies;Paper
OFF-PA-10004405;Rediform Voice Mail Log Books;2.98;1.5;Office Supplies;Paper
OFF-PA-10004438;Xerox 1907;12.28;6.5;Office Supplies;Paper
OFF-PA-10004451;Xerox 222;6.48;3.4;Office Supplies;Paper
OFF-PA-10004470;"Adams Write n' Stick Phone Message Book. 11"" X 5 1/4"". 200 Messages";5.68;3.1;Office Supplies;Paper
OFF-PA-10004475;Xerox 1940;54.96;28;Office Supplies;Paper
OFF-PA-10004519;Spiral Phone Message Books with Labels by Adams;4.48;2.3;Office Supplies;Paper
OFF-PA-10004530;Personal Creations Ink Jet Cards and Labels;11.48;5.9;Office Supplies;Paper
OFF-PA-10004569;"Wirebound Message Books. Two 4 1/4"" x 5"" Forms per Page";7.61;4;Office Supplies;Paper
OFF-PA-10004609;Xerox 221;6.48;3.4;Office Supplies;Paper
OFF-PA-10004610;Xerox 1900;4.28;2.4;Office Supplies;Paper
OFF-PA-10004621;Xerox 212;6.48;3.4;Office Supplies;Paper
OFF-PA-10004665;Advantus Motivational Note Cards;13.1;6.7;Office Supplies;Paper
OFF-PA-10004675;"Telephone Message Books with Fax/Mobile Section. 5 1/2"" x 3 3/16""";6.35;3.4;Office Supplies;Paper
OFF-PA-10004733;Things To Do Today Spiral Book;7.92;4;Office Supplies;Paper
OFF-PA-10004734;Southworth Structures Collection;7.28;3.6;Office Supplies;Paper
OFF-PA-10004735;Xerox 1905;6.48;3.4;Office Supplies;Paper
OFF-PA-10004782;Xerox 228;6.48;3.4;Office Supplies;Paper
OFF-PA-10004888;Xerox 217;6.48;3.4;Office Supplies;Paper
OFF-PA-10004911;Rediform S.O.S. 1-Up Phone Message Bk. 4-1/4x3-1/16 Bk. 1 Form/Pg. 40 Messages/Bk. 3/Pk;9.38;4.9;Office Supplies;Paper
OFF-PA-10004947;Easy-staple paper;4.28;2.4;Office Supplies;Paper
OFF-PA-10004948;Xerox 190;4.98;2.6;Office Supplies;Paper
OFF-PA-10004965;Xerox 1921;9.99;5.5;Office Supplies;Paper
OFF-PA-10004971;Xerox 196;5.78;2.9;Office Supplies;Paper
OFF-PA-10004983;Xerox 23;6.48;3.4;Office Supplies;Paper
OFF-PA-10004996;"Speediset Carbonless Redi-Letter 7"" x 8 1/2""";10.31;5.5;Office Supplies;Paper
OFF-BI-10000014;Heavy-Duty E-Z-D Binders;10.91;5.8;Office Supplies;Binders
OFF-BI-10000042;"Pressboard Data Binder. Crimson. 12"" X 8 1/2""";5.34;2.9;Office Supplies;Binders
OFF-BI-10000050;Angle-D Binders with Locking Rings. Label Holders;7.3;3.9;Office Supplies;Binders
OFF-BI-10000069;GBC Prepunched Paper. 19-Hole. for Binding Systems. 24-lb;15.01;8.1;Office Supplies;Binders
OFF-BI-10000088;GBC Imprintable Covers;10.98;5.6;Office Supplies;Binders
OFF-BI-10000136;Avery Non-Stick Heavy Duty View Round Locking Ring Binders;5.98;3.1;Office Supplies;Binders
OFF-BI-10000138;Acco Translucent Poly Ring Binders;4.68;2.4;Office Supplies;Binders
OFF-BI-10000145;Zipper Ring Binder Pockets;3.12;1.6;Office Supplies;Binders
OFF-BI-10000174;Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders. Clear;5.8;3;Office Supplies;Binders
OFF-BI-10000201;Avery Triangle Shaped Sheet Lifters. Black. 2/Pack;2.46;1.2;Office Supplies;Binders
OFF-BI-10000216;"Mead 1st Gear 2"" Zipper Binder. Asst. Colors";12.97;6.5;Office Supplies;Binders
OFF-BI-10000279;"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders";14.45;7.7;Office Supplies;Binders
OFF-BI-10000285;XtraLife ClearVue Slant-D Ring Binders by Cardinal;7.84;3.9;Office Supplies;Binders
OFF-BI-10000301;GBC Instant Report Kit;6.47;3.2;Office Supplies;Binders
OFF-BI-10000309;"GBC Twin Loop Wire Binding Elements. 9/16"" Spine. Black";15.22;7.8;Office Supplies;Binders
OFF-BI-10000315;Poly Designer Cover & Back;18.99;9.9;Office Supplies;Binders
OFF-BI-10000320;GBC Plastic Binding Combs;7.38;3.8;Office Supplies;Binders
OFF-BI-10000343;"Pressboard Covers with Storage Hooks. 9 1/2"" x 11"". Light Blue";4.91;2.6;Office Supplies;Binders
OFF-BI-10000404;Avery Printable Repositionable Plastic Tabs;8.6;4.6;Office Supplies;Binders
OFF-BI-10000474;Avery Recycled Flexi-View Covers for Binding Systems;16.03;8.3;Office Supplies;Binders
OFF-BI-10000494;Acco Economy Flexible Poly Round Ring Binder;5.22;2.9;Office Supplies;Binders
OFF-BI-10000545;GBC Ibimaster 500 Manual ProClick Binding System;760.98;380.5;Office Supplies;Binders
OFF-BI-10000546;Avery Durable Binders;2.88;1.5;Office Supplies;Binders
OFF-BI-10000591;Avery Binder Labels;3.89;2;Office Supplies;Binders
OFF-BI-10000605;"Acco Pressboard Covers with Storage Hooks. 9 1/2"" x 11"". Executive Red";3.81;2;Office Supplies;Binders
OFF-BI-10000632;Satellite Sectional Post Binders;43.41;23.4;Office Supplies;Binders
OFF-BI-10000666;Surelock Post Binders;30.56;15.3;Office Supplies;Binders
